Part Name,Part Density(g/cm(Cube)),Tensile Strength(Mpa),Stiffness(Gpa),Thermal Conductivity(Watt Per Meter Kelvin),Cost(RS),Stress Requirement(Mpa),Operating Temperature(Degree centigrade),Suggested Material
Turbine,1.894589935,1163.193942,147.8927464,101.5864747,2020.077907,304.7587203,467.2484169,High-strength Steel
Piston,7.997033474,474.0143863,133.97126,21.35902893,1036.954944,430.3991797,645.0510618,Low Carbon Steel
Disc,7.575368553,945.7679299,147.9272682,143.8827382,966.1172261,380.9398397,231.2674062,Medium Carbon Steel
Shaft Seals,3.363424524,1191.31413,91.0517531,143.1745729,2724.594581,792.8222769,386.173194,High-speed Steel
Multi-plate Clutches,1.856264512,1329.342987,186.6309417,151.1826884,5274.920819,497.3092535,592.6774363,Titanium
Multi-plate Clutches,3.278805586,247.9516332,47.59165234,110.0067606,5978.776083,912.58074,77.15224246,Carbon Fiber
Timing Belts,6.990676322,892.738832,113.7833038,35.79180408,2448.591032,355.3169456,367.0514225,Stainless Steel
Turbine,7.452254262,94.82554942,86.465726,136.9158795,4678.333014,876.7632319,139.9075731,Titanium
Casing,4.20622886,1168.674595,109.8238675,107.6925315,1186.152859,68.82556174,727.8911248,Medium Carbon Steel
Gear Pumps,1.74816202,689.9432297,66.21705691,38.41042755,3418.714293,292.0307443,517.7664762,High-speed Steel
Exhaust Manifolds,4.920896266,1132.372066,122.9539008,32.81795142,4264.745351,249.4418926,641.6523056,Titanium
Hydraulic Clutches,1.835713451,395.5880136,30.90693974,49.45552249,4398.037925,564.6559761,798.7749162,Titanium
Peristaltic Pumps,1.782909457,1436.438633,144.8282403,150.547835,1977.38419,706.3356649,236.9669457,High-strength Steel
Drum Brakes,2.753753339,152.3869873,161.3560004,158.0941353,4345.728756,601.2828925,116.6222222,Titanium
Oil Pumps,1.842920104,634.8971416,49.08126364,156.6329022,1613.972828,656.80261,169.8126831,Brass
Vane Pumps,7.922739972,780.7778674,60.11164885,170.4426916,4797.964905,721.3301846,310.1273129,Titanium
Intake Manifolds,1.438555853,807.597809,29.87298634,1.532576053,4124.523559,902.384261,290.3056324,Titanium
Pneumatic Brakes,5.938517974,223.0348912,75.4773627,42.40918252,5805.762587,604.5372286,356.2655643,Carbon Fiber
Gear Wheels,7.625238911,38.50499384,61.33277203,95.48118652,3847.472271,336.3465816,710.6972238,Stainless Steel
Peristaltic Pumps,1.003462386,1255.924733,139.793502,41.28689712,1790.835098,423.8820189,257.6347782,High-strength Steel
Timing Belts,7.217480009,715.779961,160.658005,72.97005053,2858.185755,83.90044242,438.3611278,Stainless Steel
Valves,1.732715923,318.8267122,101.6458361,80.39631856,4577.728315,174.4225828,85.55663373,Titanium
Disc Clutches,6.396682922,999.3707534,164.7904141,141.1474641,2305.329956,536.2872381,669.3693083,Stainless Steel
Centrifugal Pumps,3.955763657,1416.16155,185.7841623,50.60377131,4787.335397,913.7832534,235.4277466,Titanium
Crankshaft,7.690451059,1172.029724,150.1189862,174.2666141,5169.531455,164.6170028,252.1504907,Titanium
Multi-plate Clutches,3.494611179,468.5796534,144.4117939,30.05756051,5965.871501,932.7992875,794.913897,Carbon Fiber
Pneumatic Brakes,3.943794652,425.8249646,115.7427841,94.21677916,4988.408669,335.1773075,601.2214117,Titanium
Electromagnetic Clutches,5.727404291,509.638771,96.42229915,124.9043281,1334.962046,773.0503102,449.6637764,Medium Carbon Steel
Housing,3.874675985,1469.350344,52.90778411,176.9015107,5310.767576,578.3579311,254.2368217,Titanium
Water Pumps,2.391524552,739.0031946,129.0484013,6.663942056,4493.435186,847.0631474,657.7372052,Titanium
Drum Brakes,7.931913373,792.7172074,201.7262571,129.1644027,4053.937338,44.30063275,113.1226005,Titanium
O-rings,6.200645091,507.1572571,32.76609932,21.97618532,5646.852737,697.5121468,678.9042819,Titanium
Disc Clutches,5.945083468,1393.862638,102.2049741,44.11573727,4022.176127,528.7688995,113.7578228,Titanium
Rack and Pinion Gears,5.25715038,631.6886039,182.1843309,104.6200374,4978.298965,44.91847053,214.5751531,Titanium
Vane Pumps,3.629034063,1298.477035,180.2245985,56.65749011,1980.677854,854.0974486,462.6178225,High-strength Steel
Ball Bearing,4.278853653,158.3070833,103.3781077,141.5538644,2589.488787,869.6277832,332.4466243,Stainless Steel
Valves,1.460938744,687.6614599,70.58315366,34.07544362,5013.252513,811.8462904,219.2635913,Titanium
Water Pumps,4.02760491,522.9151949,144.9018202,189.1192115,4899.173616,832.8359617,586.3122683,Titanium
Double Wishbone Linkages,3.496682546,65.84278974,27.03684746,122.9661202,4284.738065,384.4149609,576.3151809,Titanium
Rocker Arms,2.853467379,362.3873751,30.44753228,108.106268,4245.485163,410.8762019,718.4092348,Titanium
Cylinder Heads,4.651668485,355.6253864,105.2069462,149.8600532,694.6903628,582.9695072,668.6025379,Letnol
Wheel,2.806094239,1043.749544,31.27750712,15.04948431,2589.819774,767.7755774,278.7103359,Stainless Steel
Positive Displacement Pumps,2.699148444,590.1914748,39.22053375,119.8595556,956.3640905,955.2677595,705.2152566,Medium Carbon Steel
Fuel Injectors,5.699779349,884.6220983,1.260612379,124.5267973,2868.886218,759.396025,86.52214813,High-speed Steel
Vane Pumps,4.647330729,63.29136517,203.6324814,41.20162883,2723.384057,716.1564991,672.4809298,Stainless Steel
Exhaust Manifolds,3.484406274,20.7610975,185.8144183,174.5713609,1581.214136,906.3374412,743.8871887,Brass
Bearing,5.240835715,213.1522821,146.415151,195.327579,5459.132464,162.6914802,296.2088768,Titanium
Helical Gears,6.154879988,848.3146211,101.796282,19.01268273,2599.967028,697.0303947,357.2369038,Stainless Steel
Lip Seals,6.672395931,526.0221324,168.6308331,51.30102278,3715.797969,740.3576516,321.0548357,High-speed Steel
Cam,5.096321963,557.5273794,144.774844,160.0879907,3128.627358,706.5792618,466.2183797,Stainless Steel
Spring,2.978212251,342.7393102,48.03630725,10.07043452,4553.505964,721.6775515,389.92865,Titanium
Water Pumps,2.309829543,726.6794625,158.7677352,32.14398375,1275.318269,154.6833933,271.0145607,Aluminum Alloy
Housing,4.667977022,456.5940607,117.9556602,136.9094096,1727.650457,555.7861794,665.5435713,Brass
Bell Crank Linkages,4.034739712,23.13683747,180.937903,51.82898117,1788.773147,28.21752885,470.9010165,Mild Steel
Crankshafts,5.634051942,896.8985605,1.088176514,30.3053241,5142.994254,926.1255806,323.846615,Titanium
Spur Gears,3.671513533,751.3787542,194.5602849,33.05658051,1620.516355,928.431555,748.0495264,High Carbon Steel
Oil Pumps,1.117402256,1311.194424,23.96432643,122.5662456,2165.541953,680.7035581,545.9759134,High-strength Steel
Regenerative Brakes,2.047364257,853.1244996,11.84611943,168.4710027,1538.803527,498.3531285,204.197994,Brass
Gear Pumps,3.733172681,1183.198574,58.96126324,22.02841781,5282.621892,348.0938177,520.3585267,Titanium
Connecting Rods,1.227188719,1425.004244,16.79722048,35.81269667,3225.828223,380.1138777,321.4860571,High-speed Steel
Disc Brakes,7.974059637,1318.561767,82.69736665,48.29881029,5577.264635,397.837997,702.0162363,Carbon Fiber
Turbine Blade,1.994276974,963.3091182,169.6459978,130.4561824,2643.423795,55.80178639,710.631738,Stainless Steel
Disc,3.35580964,686.9967165,145.21076,74.67721918,4214.27794,854.058564,209.572111,Titanium
Disc,5.616055851,874.7316543,145.2614312,6.003544121,5709.813672,761.4164418,104.7787741,Carbon Fiber
Sealing Washers,5.805451378,928.235562,157.6475208,90.96445145,2399.781044,656.6490273,678.54695,Stainless Steel
Cylinder Heads,7.725327243,1194.509461,77.49354759,26.02655566,5852.109749,553.4997244,548.2263612,Carbon Fiber
Casing,3.542707151,306.5522258,72.71362921,109.71045,4130.557599,46.448853,407.5610986,Titanium
Gaskets,7.269290554,1058.876951,67.9825608,13.37997955,968.4094944,31.92132267,699.5696038,Medium Carbon Steel
Intake Manifolds,2.529222102,25.37072247,25.752746,68.86789347,4924.259596,839.1443493,525.683117,Titanium
Peristaltic Pumps,5.405095299,1018.610594,29.67543719,32.69573461,5930.853694,747.6305163,588.3502312,Carbon Fiber
Disc,1.922134637,683.5225127,101.5270747,72.54585942,1862.710348,701.0534146,546.6209812,High-strength Steel
Gear,5.492552316,793.9682895,193.782201,187.7960033,3923.467048,211.7533494,627.1771095,High-speed Steel
Camshafts,3.890828531,1334.920925,55.16659829,41.49950894,1156.563588,484.5524296,230.8608799,High Carbon Steel
Pneumatic Brakes,1.748819995,1394.233972,17.49356853,179.0893579,1535.115367,502.5727454,548.7622925,High Carbon Steel
Sealing Washers,1.213374043,993.0314075,19.6174165,176.9327241,2447.351164,893.2654484,793.9236029,Stainless Steel
Coupling,5.675791022,1452.232019,43.91677421,16.43647532,2256.462141,711.5436116,112.3070514,High-strength Steel
Pistons,6.132626332,587.3093751,106.0173188,27.04592195,1704.772016,249.2395726,346.3636895,Brass
Bearing,3.863900158,850.2381341,12.22861594,46.13022321,3243.088195,83.86808814,409.8683579,Stainless Steel
Cam,7.332861978,1413.824726,3.687542945,79.18012823,4328.817017,782.6550385,375.9924351,Titanium
Intake Manifolds,6.031483522,1089.752731,33.92265204,42.64949931,4363.022906,35.62638218,629.0322545,Titanium
Cylinder Heads,5.488258555,316.3194701,22.0431363,117.1208715,5835.355976,757.6779281,76.88818623,Carbon Fiber
Cone Clutches,4.51656707,382.2305182,40.97175425,57.91142673,461.3128532,656.5317093,770.0784205,Letnol
Turbine,1.483611932,303.9485186,152.2334755,119.8328701,1782.692793,47.39868944,482.3457876,Mild Steel
Crank Linkage Systems,6.379120295,1478.224222,24.18911668,28.36109401,5361.707673,477.4090637,159.0770863,Titanium
Crankshaft,5.033712024,800.661954,29.22042493,168.9207696,5684.783694,462.7291559,547.6431206,Carbon Fiber
Crank Linkage Systems,7.852853115,25.84633375,142.4880295,36.42898781,1647.982313,209.8678017,537.2040719,Mild Steel
Crank Linkage Systems,4.020262403,41.27001518,105.9730365,68.68795927,4529.379746,532.2050333,410.3842391,Titanium
Regenerative Brakes,2.229121055,958.2855896,151.733385,65.54236679,2221.659705,974.0406341,409.8983263,High-strength Steel
Disc,7.33461531,1461.895634,93.94237948,84.5439577,1067.827075,878.1063288,341.7897328,High Carbon Steel
Helical Gears,3.201968995,527.4036636,164.3149896,15.6620445,1424.328916,782.3988099,251.1653774,Medium Carbon Steel
Timing Chains,2.92228983,853.0585972,2.835780019,47.39071709,1799.456595,950.4956287,195.8151098,High-strength Steel
Fuel Pumps,2.679111088,742.81175,25.15072698,142.7699088,888.7189595,596.4751488,778.4348721,Medium Carbon Steel
Pistons,4.519873168,120.2885401,104.5252805,9.916735176,746.1714377,695.2543869,313.1128436,Letnol
Fuel Injectors,7.226091365,1099.916872,85.08499878,41.1768566,2413.508664,180.3934318,529.8676781,Stainless Steel
Wheel,2.508095793,1213.829734,14.62577715,30.8806684,5816.53511,573.6018848,601.3111677,Carbon Fiber
Sealing Washers,4.056007017,1163.16389,76.00953085,2.987456238,5001.572075,41.77769847,560.2989003,Titanium
Wheel,6.470652712,1095.142808,155.5373012,58.14461112,2611.399976,159.9574116,237.0793207,Stainless Steel
Peristaltic Pumps,1.914471139,21.65640893,62.81184083,149.364032,2368.571564,945.3172574,416.5348197,Stainless Steel
Coupling,1.097971283,1094.15453,103.4236936,76.0585421,5160.171098,835.5666862,417.6439466,Titanium
Intake Manifolds,2.634459585,437.3436642,82.23544821,93.74896157,5932.738762,875.6152577,242.1901965,Carbon Fiber
Crankshaft,3.452112061,428.217869,65.30278373,18.51272647,639.5212633,288.6883978,333.5401045,Letnol
Spark Plugs,7.926494074,1296.375948,110.7651084,47.28219524,1729.00147,914.0101912,280.0032008,High Carbon Steel
Spur Gears,2.285476811,1325.602156,85.42480755,42.36378606,5767.0661,276.370287,257.3537901,Carbon Fiber
Four Bar Linkages,6.200429432,87.42576313,191.1912997,103.570828,901.3722504,809.89794,783.389299,Low Carbon Steel
Cone Clutches,6.528647096,692.105949,31.06525228,10.0603555,1595.040968,244.2765158,666.2037899,Brass
Regenerative Brakes,7.750707657,273.4389138,3.112558964,155.1638747,5627.535791,491.3498784,600.859356,Titanium
Pneumatic Brakes,5.835149043,420.8003576,185.6186105,98.58339147,5966.642963,157.790563,388.9030462,Carbon Fiber
Regenerative Brakes,6.351440853,1149.717588,6.025484689,80.7851362,2952.956657,925.8141111,240.2328301,High-speed Steel
Timing Gears,3.304671045,1116.070446,200.5064481,124.083593,5526.619008,568.6738017,391.0204441,Carbon Fiber
Hydraulic Clutches,2.523220696,451.8910539,51.36700975,167.2229912,3661.859105,848.6221209,648.9226774,High-speed Steel
Four Bar Linkages,2.403752869,1188.924975,119.1738603,47.69728616,3972.349875,92.55576664,798.7380574,Titanium
Timing Belts,6.981055178,1056.607171,6.633407613,74.1246772,3495.326904,707.7034996,147.8019599,High-speed Steel
Rocker Arms,7.306490715,1286.717809,184.0606928,185.5826668,4114.810522,826.5624328,233.4837944,Titanium
Disc,3.119326312,516.9835859,29.03364062,99.60366858,2734.727952,585.3729334,648.5115815,Stainless Steel
Cylinder Heads,6.540958557,658.7173902,29.14913324,118.4141003,2075.33376,361.7071189,253.1521583,High-strength Steel
Spark Plugs,3.40714817,988.3762059,167.6986716,99.38782687,4394.967732,260.1102768,637.7946474,Titanium
Turbine Blade,7.629324799,301.630522,161.4357051,71.21702428,1954.299253,350.1304971,152.7269624,Aluminum Alloy
Casing,6.066099749,880.1049069,166.8175801,197.5901559,3635.253798,451.4365684,598.6107842,High-speed Steel
O-rings,1.681944157,582.7568049,205.5461022,75.03082567,722.0644737,567.3113192,649.4332326,Letnol
Housing,1.584427468,1430.015262,150.5740323,118.899767,3969.343443,286.0051837,410.4884325,High-speed Steel
Positive Displacement Pumps,6.11845039,414.6803175,64.58841042,161.9685538,787.8035905,624.171536,718.9258625,Letnol
Ball Bearing,2.62120523,1192.582692,204.0781888,77.78980165,1709.410197,370.7230825,152.4955576,High Carbon Steel
Gear Pumps,7.046585267,1438.056323,117.2400862,73.44470533,1048.871364,593.5029821,221.0832966,High Carbon Steel
Centrifugal Clutches,2.073681797,132.4873278,146.7948303,95.85438694,5744.295068,999.6626962,221.8835938,Carbon Fiber
Spur Gears,3.67885264,1123.303652,53.64409807,83.79395972,5001.010386,940.2811916,447.5699973,Titanium
Bevel Gears,6.547344976,897.9674586,190.2466771,75.21728909,1054.8415,649.4066166,452.2772774,Medium Carbon Steel
Cam,6.998807348,1195.58937,136.6551278,51.1007918,5886.371244,757.4701903,231.1742054,Carbon Fiber
O-rings,6.372647971,1076.340729,175.1457661,189.3449118,3412.468362,475.4551608,634.0548645,High-speed Steel
Spring,5.928453639,916.1659386,157.6498606,165.8890292,5444.839538,134.0285559,694.1888099,Titanium
Regenerative Brakes,5.780031786,1139.891951,14.33474388,143.9132437,4090.223855,270.7843081,427.8473084,Titanium
Connecting Rods,7.033690639,1093.246202,137.436641,166.1235783,3080.105761,470.8203975,462.6564907,High-speed Steel
Diaphragm Pumps,2.07455005,1461.942667,116.3701007,60.12881155,3995.337687,980.491757,159.3133725,High-speed Steel
Centrifugal Pumps,4.834944425,672.6516625,80.08739095,20.9263225,2705.076167,62.19430569,725.6766577,Stainless Steel
Turbine,4.174397903,1087.385169,59.88561165,139.6493275,1632.994095,218.6899123,589.1282198,Brass
Engine Blocks,6.279739137,454.1409754,154.5137043,75.25686867,1975.188085,434.0231404,374.423888,High-strength Steel
Helical Gears,4.370007355,571.1774329,50.30488372,83.74224298,1022.004497,275.8371964,395.4101444,Low Carbon Steel
Spark Plugs,2.449430486,1171.884903,116.5658812,119.5241012,2393.964235,475.4276275,194.0057176,High-strength Steel
Valves,1.558114137,490.1734492,61.48604137,105.0094841,5531.667761,83.67767973,132.2670214,Titanium
Multi-plate Clutches,3.128418743,1163.074213,52.62636054,34.43235752,918.3083301,94.26637642,724.0430313,Medium Carbon Steel
Spark Plugs,3.489758372,289.4702335,73.13725193,73.86722728,3277.240763,659.1906359,277.796078,Stainless Steel
Shaft Seals,3.270444764,949.7243573,140.3740455,188.1321697,750.672046,544.7592479,268.1492955,Medium Carbon Steel
Peristaltic Pumps,3.093296679,662.3218107,72.14171779,54.17701719,5604.35871,876.5923049,300.1927693,Carbon Fiber
Electromagnetic Clutches,1.919721319,1240.704197,108.4583328,45.78069688,3495.58251,719.749463,150.255591,High-speed Steel
Sealing Washers,5.788060243,916.4146396,184.8316623,161.1928816,4752.169182,689.9042666,509.5791284,Titanium
Gear Pumps,1.2909112,1036.260572,75.73826073,106.6924498,4110.58945,724.5201434,536.1393727,Titanium
Sealing Washers,4.001233539,991.3500874,45.80779297,28.49392177,1392.152506,618.9804174,303.9458414,High Carbon Steel
Turbine,7.393724466,146.0562033,155.7136653,156.1229741,3365.093071,234.1821284,514.4477258,Stainless Steel
Pistons,5.522113278,1160.87919,89.0436406,52.59504836,4466.946071,32.36944872,762.7587692,Titanium
Gear Wheels,1.346107616,39.60938329,195.8058899,109.2805813,3674.850506,709.1724019,108.2618236,Stainless Steel
Crank Linkage Systems,5.54094511,731.1690973,37.2025709,115.5174783,1878.558074,810.3043512,79.16656844,High-strength Steel
Fuel Pumps,3.733651547,29.12968934,42.15145683,63.23210208,1459.2805,914.3255824,369.1955966,Brass
Centrifugal Pumps,6.090784261,760.4073145,24.4767314,107.0949112,2376.905251,491.4806995,482.977664,Stainless Steel
Timing Belts,4.014489526,261.3029925,25.98155349,38.35058776,3275.628079,629.9499171,349.7557276,Stainless Steel
Turbine Blade,6.923586631,1135.957155,78.29235124,65.96612511,3332.914576,789.8367236,614.457282,High-speed Steel
Fuel Pumps,4.71748559,1105.742877,91.47725847,49.69545581,549.8593508,809.0400991,101.6216472,Letnol
Multi-plate Clutches,7.367866068,862.4164248,79.57267434,80.46810053,5960.310261,680.1721592,579.9893053,Carbon Fiber
Spur Gears,6.980035868,1419.995966,83.62472512,103.9336713,2319.24977,163.9207666,417.0723774,High-strength Steel
Positive Displacement Pumps,3.21467031,469.8744894,112.6289957,68.28228264,1829.193843,144.7175794,244.2577494,Aluminum Alloy
Peristaltic Pumps,1.639996374,931.5725948,94.11883989,140.6349229,5083.131228,68.23322444,95.59421753,Titanium
Wheel,2.646350173,1428.28026,171.2728398,81.16833092,2443.857354,898.5104487,491.8418892,High-speed Steel
Coupling,7.229837968,84.01488574,167.6378987,190.972413,1759.786585,426.8658095,77.82287534,Aluminum Alloy
O-rings,4.593249772,1443.740309,17.89734247,24.54305884,1271.421897,754.5762191,799.5538426,High Carbon Steel
Crankshaft,6.375751035,499.919551,154.6024732,4.850313133,4656.406971,880.3263404,520.0132637,Titanium
Timing Gears,2.073451855,756.9037774,18.02349677,77.63045678,5614.545541,508.1979865,142.9104093,Carbon Fiber
Gear Wheels,7.859934166,43.29006013,123.5565008,75.55251706,4983.301796,783.7175736,708.1191403,Titanium
Turbine,7.459449076,721.7199856,37.76817004,189.6538207,935.6556306,599.1092706,208.4517701,Medium Carbon Steel
Fuel Injectors,7.060784786,442.6032901,8.40843166,70.70255817,2964.48127,175.4621124,518.3282051,Stainless Steel
Turbine Blade,4.588471831,1487.93371,100.8113487,105.2739058,2258.137232,213.7984113,197.4265362,High-strength Steel
Wheel,5.435664209,853.3728852,188.698235,1.146171921,5203.397507,118.8494145,80.06617694,Titanium
Multi-plate Clutches,4.521970349,593.2358175,180.9096108,6.607232673,2995.945061,254.8184517,492.6934301,Stainless Steel
Crankshafts,3.192097952,1389.490985,158.9551331,197.7926018,510.0371017,477.62663,510.3282583,Medium Carbon Steel
Diaphragm Pumps,1.027833828,865.9401706,199.4356338,3.835940816,5104.124401,239.9835603,159.3907519,Titanium
Pneumatic Brakes,3.604635759,117.6803302,85.38421963,161.0894881,2862.353298,153.2353847,147.0617994,Stainless Steel
O-rings,2.226289922,873.73605,202.028166,136.9094125,1505.216173,767.3631328,453.7815348,High Carbon Steel
Disc Brakes,7.429273445,1314.11116,79.94497196,72.42310097,567.6757417,898.511251,367.8274287,High Carbon Steel
Peristaltic Pumps,5.007899052,1386.411055,155.2605349,171.9953282,426.6107723,892.8245398,570.2773472,High Carbon Steel
Flywheel,5.008941206,666.8792865,95.51387489,86.5731586,5457.649593,511.958171,492.7683013,Titanium
Positive Displacement Pumps,7.359341046,544.1432362,105.687108,190.1957791,4236.809953,121.7238801,729.012987,Titanium
Drum Brakes,2.165728012,1169.488316,146.3012583,88.0848741,1633.67609,298.9288161,519.1718241,High Carbon Steel
Water Pumps,7.588303182,1014.101348,98.82606972,72.31339534,4695.373855,549.211699,232.4071002,Titanium
Spur Gears,1.992487345,513.0870834,88.58802116,118.1953118,2282.078756,797.4034248,409.0127402,High-strength Steel
Peristaltic Pumps,2.854436849,284.7594792,144.3938728,44.62843561,5308.08646,916.8700807,663.4056435,Titanium
Cylinder Heads,5.592397529,489.3493781,126.3320933,18.78985472,3276.870365,894.0145204,183.0350275,High-speed Steel
Lip Seals,1.822644402,153.090072,166.9003002,11.64186905,5786.472337,787.753278,649.0622852,Carbon Fiber
Ball Bearing,2.337742641,1353.342141,113.1219381,199.6768904,2920.046597,647.626235,264.5666276,High-speed Steel
Parking Brakes,1.728522517,304.1116108,143.4283845,172.3075681,2018.441665,791.9763304,478.4601586,High-strength Steel
Turbine Blade,5.447446374,1351.268488,158.4931864,53.93992571,4151.973383,949.689301,376.3594568,Titanium
Centrifugal Clutches,2.824031395,873.0945744,45.20841568,156.866964,4934.727318,855.7073241,391.7381973,Titanium
Gear Wheels,4.574412047,1059.499428,5.356797648,127.5898716,4741.973631,520.5041411,763.5210551,Titanium
Camshafts,6.202785445,298.1613567,16.3197714,147.7624107,2099.985633,57.32820094,399.3471507,Aluminum Alloy
Turbine Blade,7.615489629,1479.843254,101.8997708,77.70627793,1104.240953,408.8290618,742.4695755,High Carbon Steel
Helical Gears,2.014722894,606.02454,86.32780562,57.08166372,4060.064075,603.3200272,188.3759642,Titanium
Spur Gears,5.377661694,1215.546046,44.3900719,18.03009995,5458.560147,157.6733662,717.2849255,Titanium
Diaphragm Pumps,6.583980771,1361.153902,41.49366479,29.23702352,5308.164927,267.6846161,728.2724967,Titanium
Worm Gears,2.186024026,1495.997384,79.00893725,63.54966491,715.9813411,379.1320698,569.8306057,High Carbon Steel
